,SONG_NAME,0,1,2,3,4
1933,falling star,gravity,i should've never let you go,over my head,i like the way you love me,
1934,rose in my garden,when the roses bloom again,where's the catch?,a rose by any name,pay attention,
1935,trouble again,boy trouble,trouble,so much trouble in the world,you really got me,
1936,personally,this is what you do,send me the moon,life was all a dream,bringin' it home,
1937,please be the one,said and done,i miss you,easier said than done,make it easier,
1938,i don't want to miss you,slug,honey don't,pieces,don't want to know,
1939,even if,without you,maybe i love you,i wouldn't be here if i didn't love you,what i wouldn't do (for the love of you),
1940,just walk away,can't she try,nothing hurts like love,where is the love,unkind,
1941,gonna be mine,slow love,find a way,i'll fly away (without you),one that got away,
1942,wild heart of the young,never thought i'd fall in love with you,i thought i'd seen everything,nothing like you've ever known,never,
1943,it just takes one (to say goodbye),for always,in the heart of a woman,what took you so long?,amazing,
1944,dream,lost inside of you,(they long to be) close to you,close enough,dream baby dream,
1945,how long,"long, long, long",pacheco,how long,can't wait too long,
1946,new world,if this isn't love,prepare for a wound,slamming doors,it's the girl,
1947,something fine,pacheco,try our love again,so fine,finder,
1948,standing right next to me,what one dance can do,feel like,last one standing,next 2 you,
1949,when will i be loved,you ain't been loved right,you and i are through,if you loved me,could you be loved,
1950,animals,commis d'office,dans mon lit,le bitume avec une plume,le rap avant la tempete #1,
1951,sans ratures,destinee,la cour des grands,le bitume avec une plume,le rap avant la tempete #1,
1952,100-8 zoo,le bitume avec une plume,le rap avant la tempete #1,dans mon lit,la cour des grands,
1953,on m'a dit,le rap avant la tempete #2,la cour des grands,inedit,le rap avant la tempete #1,
1954,nouvelle ecole,inedit,le rap avant la tempete #2,le rap avant la tempete #1,nouvelle ecole,
1955,de mauvaise augure,dans mon lit,destinee,independant,le rap avant la tempete #1,
1956,strass et paillettes,la cour des grands,tallac,le rap avant la tempete #1,dans mon lit,
1957,destinee,le rap avant la tempete #2,le bitume avec une plume,dans mon lit,le rap avant la tempete #1,
1958,inedit,destinee,rats des villes,dans mon lit,le rap avant la tempete #1,
1959,tallac,jeunesse influencable,destinee,dans mon lit,le rap avant la tempete #1,
1960,le mal par le mal,la faucheuse,commis d'office,le rap avant la tempete #1,dans mon lit,
1961,top niveau,inedit,r.a.s.,le rap avant la tempete #1,je suis,
1962,reel,halo,she's my ride home,lol,starboy,
1963,me-ca,le bitume avec une plume,dans mon lit,le rap avant la tempete #1,rats des villes,
1964,saddam hauts-de-seine,oli en impro sur l'instru de bigflo #planeterap,le rap avant la tempete #1,boss du rap game,je suis,
1965,fast life,r.a.s.,oli en impro sur l'instru de bigflo #planeterap,paname,je suis,
1966,g5,destinee,je suis,dans mon lit,le rap avant la tempete #1,
1967,maki sall music,talion,je suis,temps mort 2.0,le rap avant la tempete #1,
1968,wesh morray,le rap avant la tempete #2,inedit,le rap avant la tempete #1,king,
1969,tombe pour elle,la lettre,scarface,r.a.s.,je suis,
1970,c'est la vie,dans mon lit,inedit,1.8.7,party,
1971,pirates,destinee,olivio,le rap avant la tempete #2,le rap avant la tempete #1,
1972,caramel,boss du rap game,inedit,le rap avant la tempete #2,je suis,
1973,kalash,la cour des grands,illegal,le rap avant la tempete #2,monsieur tout le monde,
1974,1.8.7,caracas,le bitume avec une plume,dans mon lit,pitbull,
1975,o.g.,jour de paye,rats des villes,illegal,le rap avant la tempete #1,
1976,jimmy,la cour des grands,commis d'office,dans mon lit,le rap avant la tempete #2,
1977,maitre yoda,rats des villes,commis d'office,le rap avant la tempete #1,le bitume avec une plume,
1978,rolex,dans mon lit,strass et paillettes,mon son,inedit,
1979,generation assassin,rats des villes,je suis,inedit,le rap avant la tempete #1,
1980,pinocchio,inedit,rats des villes,temps mort 2.0,jour de paye,
1981,comme les autres,paname,je suis,temps mort 2.0,d.u.c,
1982,habibi,talion,oli en impro sur l'instru de bigflo #planeterap,illegal,r.a.s.,
1983,4g,temps mort 2.0,tallac,destinee,le rap avant la tempete #1,
1984,d.u.c,temps mort 2.0,r.a.s.,illegal,paname,
1985,la vie en rouge,r.a.s.,oli en impro sur l'instru de bigflo #planeterap,gangster,je suis,
1986,rats des villes,illegal,le rap avant la tempete #1,destinee,inedit,
1987,foetus,oli en impro sur l'instru de bigflo #planeterap,longueur d'avance,gangster,je suis,
1988,a4,tallac,temps mort 2.0,pitbull,comme les autres,
1989,bakel city gang,destinee,le rap avant la tempete #1,gang gang,carrement gang,
1990,vaisseau mere,le rap avant la tempete #1,le bitume avec une plume,inedit,rats des villes,
1991,scarface,le rap avant la tempete #1,illegal,oli en impro sur l'instru de bigflo #planeterap,je suis,
1992,pigeons,la cour des grands,destinee,gangsta,le rap avant la tempete #2,
1993,gangster,r.a.s.,longueur d'avance,oli en impro sur l'instru de bigflo #planeterap,je suis,
1994,paname,inedit,boss du rap game,illegal,d.u.c,
1995,centurion,ouais ouais,la cour des grands,dans mon lit,le rap avant la tempete #1,
1996,friday,independant,dans mon lit,le rap avant la tempete #1,je suis,
1997,drapeau noir,r.a.s.,mauvaise intro,le rap avant la tempete #2,je suis,
1998,trone,le rap avant la tempete #1,tallac,je suis,temps mort 2.0,
1999,bouyon,le rap avant la tempete #2,ouais ouais,le rap avant la tempete #1,pinocchio,
2000,magnifique,le rap avant la tempete #2,la cour des grands,dans mon lit,le rap avant la tempete #1,
2001,ca va aller,money,super intro,super intro,ca va trop vite,
2002,nougat,temps mort 2.0,talion,dans mon lit,le rap avant la tempete #1,
2003,terrain,paname,illegal,comme les autres,temps mort 2.0,
2004,a la folie,rats des villes,je suis,r.a.s.,scarface,
2005,113,le rap avant la tempete #1,olivio,le rap avant la tempete #2,ouais ouais,
2006,ridin',le bitume avec une plume,jour de paye,rats des villes,ridin,
2007,petite fille,la cour des grands,dans mon lit,le rap avant la tempete #1,le rap avant la tempete #2,
2008,lookin' after no.1,don't wanna,free at last,i don't wanna talk about it,if you don't wanna love me,
2009,neon heart,all night,city lights,gulag orkestar,the night is young,
2010,joey's on the streets again,i don't know,crazy for you,"she said, she said",i miss you,
2011,never bite the hand that feeds,i need to know,tell me,you know what to do,bite down,
2012,mary of the 4th form,arms of mary,joe and mary,mary mary,mary marry me,
2013,(she's gonna) do you in,we're gonna make it,drop the needle,never gonna give you up,i'm gonna be,
2014,close as you'll ever be,(they long to be) close to you,close,close enough,close enough,
2015,i can make it if you can,don't forget,talk to me,all you do is talk,don't cry,
2016,kicks,light my eyes,bad,news,sweet sixteen,electro sixteen
2017,like clockwork,the last time,my time,forever time,any time at all,
2018,heart locked out,give in to me,incarcerated,do it right,this depression,
2019,i've got a feelin',what's so bad (about feeling good),dream,i've got a feeling,the feelin's love,
2020,his name was sam,heart sing,sing,i love to sing the songs i sing,sam's place,
2021,this is what it feels like,spray paint (the walls),we,music sounds better with you,trash,
2022,keep tryin' (acoustic version),say no,you better run,tryin' to hide a fire in the dark,my life,
2023,i hate the way i love you (stupid over you),bellas finals: price tag / don't you (forget about me) / give me everything / just the way you are / party in the u.s.a. / turn the beat around,tonight,if you were here with me tonight,heartbroken down,
2024,girl on fire,sunshine,damaged ii,ring of fire,jet fighter,
2025,holding out for a hero,is this love?,hero,hero,holding out for a hero,
2026,all night with me,nobody does it like me,so good,feel like,how does it feel,
2027,gloria,death is calling,life is calling,been calling,the same love,
2028,"please stay, go away",quincy,crazy for your love,let me love you,stay away,
2029,i wish we could be alone,words,i wish i may,sometimes,my best friend's girlfriend,
2030,down like a rock,did you ever hurt for me?,did you know,you were there to catch me,she did that (interlude),
2031,maybe i love you,maybe tonight,maybe i'm wrong,loner,let me love,
2032,imagination,really,you really got me,really (japanese version),fractured fairytale,
2033,hot night,you're looking hot tonight,hot stuff,hot in the city,hot girl,
2034,looking out for number one,a new england,looking at life,lookin' at me,revolution 9,
2035,solitaire,wait,lonely won't come around,why makes perfect sense,carmelita,
2036,deep in the dark,joe hill,back to work,run joe,can i touch you there,
2037,close enough,(they long to be) close to you,close,close enough,close as you'll ever be,
2038,lucky,free again,"oh me, oh my (i'm such a lucky guy)",jenny rebecca,lucky me,
2039,squeeze box,mah's joint,mama,one more night,daddy cool,
2040,with every beat of my heart,is your love strong enough?,every beat of my heart,crazy beat,big beat,
2041,hold me,i've gotta get a message to you,i can't hold on,hold on,miss primetime,
2042,maybe tonight,maybe i'm wrong,let me love,loner,maybe i love you,
2043,foolish lullaby,christmas lullaby,time to say goodbye,lullaby in blue,lullaby of the leaves,
2044,spanish eddie,gulag orkestar,down home,spanish eyes,i remember you / dixie's dream,
2045,forever young,live forever,forever,always forever now,forever young,
2046,when i'm with you,everybody's doin' it,touch me,i want you,don't want to know,
2047,i found someone,fire escape,my baby's gone,gone away,city of angels,
2048,sanctuary,i've got a feeling,heart of the world,never my love,behind the moon,
2049,tenderness,just a little love,with a little love,the greatest of these - a little love,try a little tenderness,
2050,when the heat hits the streets,street beat,farmer's daughter,out in the street,take the heat off me,
2051,over love,never my love,could've had love,bottle it up,love it,
2052,b train,outlaw,always go hard,grippin' the grain,friends,
2053,i will,can't give it up,neck of the woods,mr. bill collector,come wit it,
